Tennets,Impero,Orientali,Panzer,Le bobe,Virtualin,Le tre Avemaaahria + il Prete,Team Sepo
0,68,44,44,0,1,61,44
46,44,78,45,3,4,44,68
3,0,17,34,5,54,65,65
1,48,83,13,7,55,31,31
48,50,50,53,9,60,17,41
29,4,75,29,22,58,81,33
43,79,81,62,23,87,33,84
64,83,22,9,31,24,68,87
33,81,,7,44,72,87,63
36,74,,31,48,22,40,17
84,71,,10,54,86,28,23
6,23,,83,63,44,,81
8,69,,,65,79,,51
76,26,,,72,83,,18
87,,,,80,82,,4
,,,,86,64,,37
,,,,58,62,,58
,,,,,65,,8
,,,,,31,,54
,,,,,41,,
,,,,,15,,
