edge_1,edge_2
0,1
1,3
1,2
1,8
1,6
2,8
2,7
3,6
3,4
8,6
6,4
6,12
6,9
4,9
4,11
4,5
5,11
5,14
14,19
8,7
7,12
7,16
9,12
9,13
9,11
10,12
10,13
10,19
10,17
11,13
11,14
12,16
15,16
15,17
17,18
18,19
